iterationName,gameid,time,questionNumber,confused,strategy,comments,totalLength,ratePartner,nativeEnglish,score,firstRole
testing,7591-de1da293-4f25-4d3a-9128-8fbfbf43cd71,1.550536910659e+12,0,no,asdf asdf ,asdf hahahahahahaha,28026,okay,yes,3,leader
testing,1744-c49f1a06-33e2-4293-b59a-4f0da5ff72b8,1.550537770677e+12,0,yes,"I tried not to explode,,, ",Nopes,33591,liked,yes,3,helper
testing,2357-4e2ecfdf-fbc5-4879-be37-b69b58c105ec,1.550650866205e+12,0,no,sadf,aasdf nnnnn,694686,liked,no,50,leader
testing,3839-ef186d93-9d69-4363-991d-6ae0ea11d32e,1.550719635332e+12,0,yes,weird yo,fun,540040,okay,yes,46,helper
pilot0,2609-d593aede-a4de-4608-bbde-0896a0c39eb7,1.550729526094e+12,0,yes,I tried to guess what their goal was and provide additional information,No,695233,okay,yes,43,helper
pilot0,8449-02567a25-cd3d-411c-932b-aba378f36fe8,1.550729748108e+12,0,yes,"As the helper, I simply tried to infer whether the leader was selecting columns or rows based on the proximity of already known grids,","No problems,",616431,loved,yes,46,leader
pilot0,2353-ecf48a95-ed25-4577-a03b-4d82dd10c724,1.550731595691e+12,0,yes,"By trying to give as much info as possible, and by putting myself in their shoes to see what they were trying to do,  It was easy to determine if they wanted a row or column based on their question,",no problems,637210,loved,yes,50,helper
pilot0,6944-558bcd4a-55b2-4322-98d7-f8773a1b23bf,1.550731638833e+12,0,yes,"i really didn't have one, I went with my gut i guess",no everything ran smoothly and it was a fun survey!,723999,liked,yes,42,helper
pilot0,7857-7d659b23-660b-4280-a7bc-11acdb67aeb5,1.550732137577e+12,0,yes,"IT'S VERY NICE TO PLAY,","NO PROBLEM ,",701924,loved,yes,51,leader
full_sample,1005-11529870-837a-4280-9a12-b4893749a6b5,1.550774085171e+12,0,yes,"I don't know, it was pretty simple to see which tile would allow me to complete the task the quickest,","No thanks,",505923,loved,yes,53,leader
full_sample,1290-632664ff-bd64-4c9a-9f57-32c87cfa27f0,1.550774103789e+12,0,yes,"I just tried to help my partner, and they tried to help me by preemptively choosing what we thought the other would go for,","No problems,",487591,loved,yes,53,helper
full_sample,7327-2c6009a3-3400-42e0-8ec2-ee5525c7162e,1.55077425632e+12,0,yes,"I tried to communicate using the rules,",,619102,loved,yes,41,leader
full_sample,6145-3ffc3c4a-5c4a-4fc4-a099-ab3749b83a6f,1.550774314412e+12,0,yes,"I tried to give my partner as much help as needed so they didn't have to ask too many questions,",None,495532,loved,yes,53,helper
full_sample,5179-1c3ddbcf-6a4f-4182-9917-2ca4ed8caeb7,1.550774370302e+12,0,yes,,,570234,okay,yes,50,helper
full_sample,1305-1ac82870-378e-4cea-9a1d-d0456a4bde0d,1.550774731744e+12,0,yes,just tried to help with helping the guesses,no,686258,loved,yes,48,leader
full_sample,9103-3129838a-8e37-48cb-b179-a08226929bcf,1.550774761472e+12,0,yes,"I just paid attention to what was trying to be done and I tried to be as concise as possible,",No,473730,okay,yes,53,leader
full_sample,6737-43c17402-5d19-4e4f-a3af-e9defb5fb139,1.550774784014e+12,0,yes,Tried to anticipate what the other was thinking as quickly as possible,none,706044,liked,yes,49,helper
full_sample,2679-169dc47a-6cb2-4b82-b242-29546a68e5fb,1.550774897113e+12,0,yes,"I tried to predict what direction my partner was going(rows or columns) based off what was shown already,","No I did not,",656733,liked,yes,46,leader
full_sample,3097-97be2a31-1c4d-4d20-9d55-40dd996b8837,1.550775075693e+12,0,yes,"trying to make sure i made it obvious i was going for a row or column, Also trying to figure out which one they were going for, From there it was easy to provide the correct info,",no issues,738799,loved,yes,47,leader
