workerid	OS	screenH	screenW	Browser
0	Windows	1080	1920	Firefox
1	Windows	900	1440	Chrome
2	Mac	800	1280	Safari
3	Windows	1080	1920	Chrome
4	Windows	768	1366	Firefox
5	Mac	1200	1920	Chrome
6	Windows	900	1600	Chrome
7	Windows	1080	1920	Chrome
8	Windows	800	1280	Chrome
9	Windows	768	1366	Chrome
10	Windows	768	1366	Chrome
11	Windows	1080	1920	Chrome
12	Windows	768	1366	Firefox
13	Linux	534	802	Chrome
14	Windows	960	1600	Firefox
15	Windows	768	1366	Chrome
16	Windows	900	1600	Chrome
17	Windows	768	1366	Chrome
18	Windows	900	1600	Chrome
19	Windows	678	905	Firefox
20	Windows	768	1366	Chrome
21	Windows	900	1600	Chrome
22	Windows	768	1360	Chrome
23	an unknown OS	1024	768	Safari
24	Windows	900	1600	Firefox
25	Windows	614	1093	Firefox
26	Windows	600	1066	Chrome
27	Windows	768	1366	Chrome
28	Windows	720	1280	Firefox
29	Windows	1600	2560	Chrome
30	Windows	1080	1920	Chrome
31	Windows	1080	1920	Chrome
32	Mac	800	1280	Chrome
33	Mac	1050	1680	Safari
34	Windows	900	1600	Chrome
35	Windows	1125	2000	Firefox
36	an unknown OS	1024	768	Safari
37	Windows	1080	1920	Chrome
38	Windows	720	1280	Firefox
39	Mac	1080	1920	Firefox
40	Windows	1050	1680	Firefox
41	Windows	960	1708	Firefox
42	Windows	768	1366	Firefox
43	Windows	800	1280	Chrome
44	Mac	900	1440	Chrome
45	Windows	768	1366	Chrome
46	Windows	1200	1920	Chrome
47	Linux	600	960	Chrome
48	Windows	1024	1280	Firefox
49	Windows	768	1366	Chrome
50	Mac	1050	1680	Chrome
51	Windows	768	1366	Chrome
52	Windows	576	1024	Chrome
53	Linux	900	1440	Firefox
54	an unknown OS	1024	768	Safari
55	Windows	768	1366	Chrome
56	Windows	768	1366	Chrome
57	Windows	960	1708	Firefox
58	Windows	1080	1920	Firefox
59	Windows	768	1366	Firefox
60	Windows	768	1366	Chrome
61	Windows	900	1600	Chrome
62	Windows	768	1366	Chrome
63	Windows	768	1366	Firefox
64	Windows	704	1252	Firefox
65	Mac	900	1440	Chrome
66	Windows	1080	1920	Chrome
67	Windows	768	1366	Chrome
68	Windows	864	1536	Firefox
69	Windows	1024	1280	Chrome
70	Windows	954	1696	Firefox
71	Windows	1440	2560	Chrome
72	Mac	1050	1680	Chrome
73	Windows	1080	1920	Chrome
74	Windows	1000	1600	Firefox
75	Windows	1080	1920	Chrome
76	Windows	768	1366	Chrome
77	Windows	768	1366	Chrome
78	Linux	768	1366	Chrome
79	Windows	600	1024	Chrome
80	Windows	900	1600	Mozilla
81	Linux	640	360	Chrome
82	Windows	800	1280	Chrome
83	Windows	1200	1920	Chrome
84	Mac	900	1440	Chrome
85	Windows	768	1366	Chrome
86	Windows	1000	1778	Mozilla
87	Mac	900	1440	Chrome
88	Windows	792	1408	Firefox
89	Windows	819	1280	Firefox
90	Linux	900	1440	Chrome
91	Windows	768	1366	Chrome
92	Windows	1080	1920	Chrome
93	Windows	1080	1920	Chrome
94	Windows	1080	1200	Chrome
95	Mac	1050	1680	Chrome
96	Windows	768	1366	Chrome
97	Windows	858	1143	Firefox
98	Windows	800	1280	Chrome
99	Mac	893	1429	Firefox
