workerid	OS	screenH	screenW	Browser
0	Windows	768	1366	Chrome
1	Windows	1050	1680	Chrome
2	Windows	1440	2560	Firefox
3	Windows	1080	1920	Firefox
4	Windows	1080	1920	Chrome
5	Mac	800	1280	Chrome
6	Linux	768	1366	Chrome
7	Windows	900	1600	Chrome
8	Mac	1080	1920	Chrome
9	Windows	1080	1920	Firefox
10	Windows	900	1440	Chrome
11	iPhone/iPod	568	320	Safari
12	Windows	1000	1600	Firefox
13	Windows	1080	1920	Chrome
14	Windows	1080	1920	Chrome
15	Windows	768	1366	Chrome
16	Windows	900	1600	Chrome
17	Mac	800	1280	Firefox
18	Windows	1050	1680	Chrome
19	Windows	900	1600	Chrome
20	Windows	768	1366	Chrome
21	Windows	1024	1280	Chrome
22	Windows	1024	1280	Chrome
23	Mac	800	1280	Safari
24	Windows	1080	1920	Chrome
