workerid,OS,screenH,screenW,Browser
0,Windows,768,1366,Chrome
1,Windows,1200,1920,Chrome
2,Windows,768,1366,Chrome
3,Linux,768,1366,Chrome
4,Windows,1080,1920,Chrome
5,Windows,720,1280,Chrome
6,Windows,1080,1920,Chrome
7,Linux,768,1366,Chrome
8,Windows,768,1366,Chrome
9,Windows,768,1366,Chrome
10,Windows,768,1366,Chrome
11,Mac,900,1440,Chrome
12,Windows,1080,1920,Chrome
13,Windows,1200,1920,Chrome
14,Mac,1000,1600,Chrome
15,Windows,900,1600,Chrome
16,Windows,1080,1920,Chrome
17,Windows,768,1366,Chrome
18,Mac,800,1280,Safari
19,Windows,1080,1920,Chrome
20,Windows,1080,1920,Chrome
21,Windows,1080,1920,Chrome
22,an unknown OS,720,1280,Mozilla
23,Windows,900,1600,Chrome
24,Windows,1050,1680,Chrome
25,Windows,1080,1920,Chrome
26,Linux,768,1366,Chrome
27,Mac,900,1440,Chrome
28,Windows,1080,1920,Chrome
29,Windows,800,1280,Chrome
30,Windows,1024,1280,Chrome
31,Windows,768,1366,Chrome
32,Windows,900,1600,Chrome
33,Windows,1080,1920,Chrome
34,Windows,900,1440,Chrome
35,Windows,768,1366,Chrome
36,Windows,768,1366,Chrome
37,iPhone/iPod,568,320,Safari
38,Linux,640,360,Chrome
39,Mac,800,1280,Chrome
40,Windows,1050,1680,Chrome
41,Windows,1050,1680,Chrome
42,Windows,768,1366,Chrome
43,Windows,768,1366,Chrome
44,Windows,900,1440,Chrome
45,Windows,800,1280,Chrome
46,Windows,1200,1920,Chrome
47,Windows,1050,1680,Chrome
48,Windows,900,1600,Chrome
49,Windows,1024,1280,Chrome
50,Mac,900,1440,Chrome
51,Windows,1080,1920,Chrome
52,Windows,768,1366,Chrome
53,Windows,768,1366,Chrome
54,Windows,900,1440,Chrome
55,Mac,1080,1920,Safari
56,Windows,768,1366,Chrome
57,Windows,1024,1280,Chrome
58,Windows,900,1600,Chrome
59,Windows,1080,1920,Chrome
60,Windows,768,1366,Chrome
61,Windows,768,1366,Chrome
62,Windows,1024,1280,Chrome
63,Windows,900,1600,Chrome
64,Windows,768,1366,Chrome
65,Windows,768,1366,Chrome
66,Mac,800,1280,Chrome
67,Windows,1080,1920,Chrome
68,Windows,768,1366,Chrome
69,Windows,1080,1920,Chrome
70,Windows,1080,1920,Chrome
71,Windows,1080,1920,Chrome
72,Windows,1080,1920,Chrome
73,Windows,768,1024,Chrome
74,Windows,900,1440,Chrome
75,Windows,1080,1920,Chrome
76,Linux,904,600,Chrome
77,Mac,800,1280,Chrome
78,Windows,900,1600,Chrome
79,Mac,900,1440,Chrome
80,Windows,1050,1680,Chrome
81,Windows,900,1600,Chrome
82,Mac,768,1366,Chrome
83,Windows,768,1024,Chrome
84,Windows,768,1366,Chrome
85,Mac,800,1280,Chrome
86,Windows,1080,1920,Chrome
87,Windows,1080,1920,Chrome
