workerid	OS	screenH	screenW	Browser
0	Windows	1080	1920	Chrome
1	Windows	900	1600	Chrome
2	Windows	1024	1280	Chrome
3	Mac	800	1280	Safari
4	Windows	900	1600	Chrome
5	Linux	768	1366	Chrome
6	Windows	1080	1920	Chrome
7	Windows	1024	1280	Chrome
8	Windows	768	1366	Chrome
9	Mac	800	1280	Safari
10	Linux	768	1366	Chrome
11	Windows	768	1366	Chrome
12	Linux	768	1024	Chrome
13	Windows	960	1708	Firefox
14	Windows	1080	1920	Chrome
15	Windows	768	1366	Chrome
16	Mac	800	1280	Chrome
17	Windows	768	1366	Chrome
18	Linux	768	1366	Chrome
19	Mac	900	1440	Chrome
20	Windows	1143	1429	Firefox
21	Windows	1005	1608	Firefox
22	Windows	768	1366	Chrome
23	Windows	900	1440	Chrome
24	Windows	768	1366	Chrome
25	Windows	900	1440	Chrome
26	Windows	720	1280	Firefox
27	Windows	1080	1920	Chrome
28	Mac	1080	1920	Chrome
29	Windows	768	1366	Chrome
30	Windows	900	1600	Chrome
31	Windows	1080	1920	Chrome
32	Windows	768	1366	Firefox
33	Windows	1080	1920	Chrome
34	Windows	900	1440	Chrome
35	Mac	800	1280	Chrome
36	Windows	1050	1680	Firefox
37	Windows	1200	1600	Chrome
38	Windows	1050	1680	Firefox
39	Windows	704	1252	Firefox
40	Windows	768	1366	Firefox
41	Windows	768	1366	Chrome
42	Windows	900	1440	Chrome
43	Windows	768	1366	Chrome
44	Mac	800	1280	Chrome
45	Windows	1080	1920	Chrome
46	Linux	768	1366	Chrome
47	Windows	768	1366	Chrome
48	Windows	1080	1440	Firefox
49	Windows	768	1366	Chrome
