workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.id,Answer.catch_trials
0,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3KOPY89HM828SZTX1WYNKZ1O912J32,0,Approved,Tue May 26 09:10:04 PDT 2015,Mon May 25 16:18:27 PDT 2015,Mon May 25 16:30:04 PDT 2015,Mon May 25 17:45:35 PDT 2015,,,,,"""6928-5""",[]
1,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3TESA3PJ31AZFT7SABGUWQ2BDMDMMO,1,Approved,Tue May 26 09:10:14 PDT 2015,Mon May 25 16:18:31 PDT 2015,Mon May 25 16:30:14 PDT 2015,Mon May 25 17:45:35 PDT 2015,,,,,"""6928-5""",[]
2,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,36WLNQG78ZA5KEBI2O2252M8SLJBE0,2,Approved,Tue May 26 09:10:51 PDT 2015,Mon May 25 16:18:29 PDT 2015,Mon May 25 16:30:51 PDT 2015,Mon May 25 17:45:35 PDT 2015,,,,,"""5284-6""",[]
3,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3483FV8BEEJ7JMI7DDQTSLRRHHI628,3,Approved,Tue May 26 09:10:57 PDT 2015,Mon May 25 16:18:31 PDT 2015,Mon May 25 16:30:57 PDT 2015,Mon May 25 17:45:35 PDT 2015,,,,,"""5284-6""",[]
4,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3SNLUL3WO4NYMJUGJ161NN4GQ3RLUE,4,Approved,Tue May 26 09:11:31 PDT 2015,Mon May 25 16:18:29 PDT 2015,Mon May 25 16:31:31 PDT 2015,Mon May 25 17:45:35 PDT 2015,,,,,"""7583-f""",[]
5,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3SB5N7Y3O342K54ZA3V1LOB1EX1G00,5,Approved,Tue May 26 09:11:37 PDT 2015,Mon May 25 16:18:22 PDT 2015,Mon May 25 16:31:37 PDT 2015,Mon May 25 17:45:36 PDT 2015,,,,,"""7583-f""",[]
6,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3TXWC2NHNZQN64135Z8B3DVX5COS97,6,Approved,Tue May 26 09:11:50 PDT 2015,Mon May 25 16:18:24 PDT 2015,Mon May 25 16:31:50 PDT 2015,Mon May 25 17:45:36 PDT 2015,,,,,"""2744-3""",[]
7,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3HFNH7HEMHEQ8Y9YR1PG0U2JR1ZQG8,7,Approved,Tue May 26 09:11:57 PDT 2015,Mon May 25 16:19:07 PDT 2015,Mon May 25 16:31:57 PDT 2015,Mon May 25 17:45:36 PDT 2015,,,,,"""0297-e""",[]
8,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3NKQQ8O39Y5FO76O6K8D4AWBHUPDUQ,8,Approved,Tue May 26 09:11:58 PDT 2015,Mon May 25 16:18:24 PDT 2015,Mon May 25 16:31:58 PDT 2015,Mon May 25 17:45:36 PDT 2015,,,,,"""0297-e""",[]
9,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3LUY3GC63Z0MFTXIYL6XUCZGN2TP7C,9,Approved,Tue May 26 09:12:21 PDT 2015,Mon May 25 16:18:28 PDT 2015,Mon May 25 16:32:21 PDT 2015,Mon May 25 17:45:36 PDT 2015,,,,,"""2744-3""",[]
