workerid	OS	screenH	screenW	Browser
0	Windows	768	1366	Chrome
1	Windows	1050	1680	Chrome
2	Windows	600	800	Chrome
3	Windows	900	1600	Chrome
4	Windows	1024	1280	Chrome
5	Windows	960	1708	Firefox
6	Mac	800	1280	Safari
7	Windows	900	1440	Chrome
8	Windows	768	1366	Chrome
9	Windows	900	1600	Chrome
10	Windows	1080	1920	Chrome
11	Windows	1080	1920	Chrome
12	Windows	768	1024	Chrome
13	Windows	1024	1280	Chrome
14	Windows	1080	1920	Chrome
15	Linux	900	1600	Chrome
16	Mac	800	1280	Firefox
17	Windows	1024	1280	Chrome
18	Windows	1080	1920	Firefox
19	Windows	768	1366	Firefox
20	Windows	1143	1429	Firefox
21	Windows	1080	1920	Chrome
22	Mac	800	1280	Chrome
23	Windows	1200	1920	Firefox
24	Windows	900	1600	Chrome
25	Windows	900	1600	Firefox
26	Mac	768	1280	Safari
27	Windows	768	1366	Chrome
28	Windows	643	1143	Mozilla
29	Windows	720	1280	Chrome
30	Windows	768	1366	Chrome
31	Windows	768	1366	Firefox
32	Mac	900	1440	Safari
33	Windows	1080	1920	Firefox
34	Windows	768	1366	Firefox
35	Windows	768	1366	Chrome
36	Windows	1080	1920	Firefox
37	Windows	768	1366	Chrome
38	Windows	768	1366	Firefox
39	Windows	1024	1280	Chrome
40	Mac	900	1600	Chrome
41	Windows	768	1366	Mozilla
42	Windows	1050	1680	Chrome
43	Windows	768	1366	Chrome
44	Windows	1024	1280	Chrome
45	Linux	800	1280	Chrome
46	Windows	768	1024	Chrome
47	Windows	900	1440	Chrome
48	Mac	900	1440	Chrome
49	Windows	768	1366	Chrome
50	Windows	900	1600	Firefox
51	Windows	768	1366	Chrome
52	Mac	900	1440	Chrome
53	Windows	960	1708	Chrome
54	Linux	768	1366	Chrome
55	Windows	900	1600	Chrome
56	Windows	768	1024	Chrome
57	Windows	768	1366	Chrome
58	Windows	800	1280	Chrome
59	Windows	853	1067	Firefox
60	Windows	1024	1280	Chrome
61	Mac	1200	1920	Firefox
62	Windows	600	1067	Firefox
63	Windows	1080	1920	Chrome
64	Windows	900	1440	Chrome
65	Windows	768	1366	Chrome
66	Linux	550	979	Firefox
67	Windows	800	1280	Firefox
68	Mac	800	1280	Chrome
69	Windows	600	1024	Firefox
70	Windows	768	1366	Chrome
71	Windows	900	1440	Chrome
72	Windows	768	1366	Chrome
73	Windows	1340	2144	Firefox
74	Windows	1080	1920	Chrome
75	Windows	720	1280	Chrome
76	Windows	900	1600	Chrome
77	Mac	800	1280	Chrome
78	Windows	1080	1920	Chrome
79	Windows	900	1600	Chrome
80	Windows	1050	1680	Chrome
81	Windows	1080	1920	Chrome
82	Windows	1080	1920	Firefox
83	Windows	960	1708	Firefox
84	Windows	800	1280	Firefox
85	Windows	900	1600	Chrome
86	Windows	800	1280	Firefox
87	Windows	1080	1920	Chrome
88	Windows	1080	1920	Chrome
89	Windows	768	1366	Chrome
90	Windows	768	1366	Chrome
91	Windows	1024	1280	Chrome
92	Windows	504	896	Firefox
93	Windows	768	1366	Chrome
94	Windows	768	1366	Chrome
95	Windows	900	1440	Chrome
96	Windows	1024	1280	Chrome
97	Windows	1080	1920	Chrome
98	Windows	768	1366	Chrome
99	Linux	864	1536	Chrome
