workerid	OS	screenH	screenW	Browser
0	Mac	1080	1920	Chrome
1	Windows	1080	1920	Chrome
2	Mac	900	1440	Chrome
3	Windows	1080	1920	Chrome
4	Windows	1024	1280	Firefox
5	Windows	900	1440	Chrome
6	Windows	900	1600	Chrome
7	Windows	1080	1920	Chrome
8	Windows	900	1600	Chrome
9	Windows	768	1024	Chrome
10	Windows	675	1200	Firefox
11	Mac	1050	1680	Firefox
12	Windows	1080	1920	Chrome
13	Mac	1200	1920	Firefox
14	Windows	1080	1920	Chrome
15	Windows	1024	1280	Firefox
16	Windows	768	1366	Chrome
17	Windows	960	1280	Chrome
18	Windows	768	1366	Chrome
19	Windows	768	1366	Firefox
20	Windows	768	1366	Firefox
21	Windows	768	1366	Chrome
22	Windows	960	1708	Firefox
23	Mac	800	1280	Chrome
24	Windows	768	1366	Chrome
25	Mac	800	1280	Safari
26	Mac	1050	1680	Chrome
27	Windows	900	1600	Chrome
28	Windows	768	1366	Chrome
29	Windows	900	1440	Firefox
30	Windows	768	1366	Chrome
31	Windows	1024	1280	Chrome
32	Windows	1600	2560	Chrome
33	Windows	768	1366	Firefox
34	Mac	1200	1920	Safari
35	an unknown OS	1024	768	Safari
36	Mac	900	1440	Chrome
37	Windows	1080	1920	Firefox
38	Windows	900	1600	Chrome
39	Linux	768	1366	Chrome
40	Windows	768	1366	Firefox
41	Linux	768	1366	Chrome
42	Windows	614	1093	Firefox
43	Windows	768	1366	Chrome
44	iPhone/iPod	736	414	Safari
45	Windows	614	1093	Firefox
46	Windows	1024	1280	Chrome
47	Windows	900	1600	Chrome
48	Windows	768	1366	Chrome
49	Windows	704	939	Firefox
