workerid	language	enjoyment	gender	age	comments	asses	education
0	engish	1	Female	29		Yes	3
1	English	1	Female	43		Yes	3
2	English	2	Other	19		Yes	1
3	English	1	Female	25		Yes	3
4	English	1	Male	21		Confused	2
5	English	1	Male	29		No	1
6	English	2	Female	32	none	Yes	2
7	english	2	Female	24		Yes	2
8	ENGLISH	2	Female	52	THANKS	Yes	2
9	English	1	Female	38		Yes	3
10	English	2	Female	62	no comments	Yes	3
11	English	2	Male	23		Yes	3
12	English	2	Female	31	I enjoyed that	Yes	3
13	english	2	Male	36		Yes	1
14	english	2	Male	24		Yes	1
15	English	2	Male	30		Confused	2
16	english	2	Female	41	na	NA	3
17	English	1	Male	31	I didn&quotechart think either question ("cat?" "dalmatian?") was more helpful than the other.  If I asked "cat?", then I&quotechard know that the other two have dogs, and I have a 50% chance of picking the right dog.  If I asked "dalmatian?," then I&quotechard know that the other two boxes contain the cat and the correct dog, with a 50% probability of guessing correctly.  I made my decision because I&quotecharm looking for a dog, so it felt more natural to ask about the dalmatian even if the dalmatian is not the particular dog I&quotecharm looking for.  	Yes	4
18	English	2	Male	23		Yes	3
19	English	2	Male	31	Was this studying how positive or negative people perceive choices?	Yes	4
20	english	1	Male	23		Confused	3
21	English	1	Male	25		Confused	3
22	English	2	Female	26		Yes	2
23	English	1	Female	22	Very short. A much simpler survey than most	Yes	2
24	English	2	Male	24		Yes	2
25	english	1	Female	21		Yes	2
26	English	2	Male	29		Yes	3
27	English	1	Male	35		Yes	3
28	English	2	Female	37		Yes	3
29	ENGLISH	2	Female	27		Yes	2
30	English	2	Female	46	I said it was better than average hit because it was so short!	Yes	4
31	English	2	Female	34	Thanks!	Yes	2
32	English	1	Male	30	great HIT	Yes	3
33	english	2	Male	26		Yes	1
34	English	2	Male	34		Yes	4
35	English	1	Female	33		Yes	3
36	English	2	Male	33		Yes	3
37	English	2	Male	23	No comments.	Yes	2
38	English	1	Female	24		Yes	2
39	english	1	Male	35	thx	Yes	1
40	English	1	Male	36		Yes	3
41	English	1	Male	22		Yes	2
42	English	1	Male	25		Yes	3
43	English	1	Female	25		Yes	2
44	English	1	Male	21		Yes	2
45	English	2	Female	62	I want to know where the poodle is now. 	Yes	1
46	English	2	Male	39	I an curious of the result as the the other person knew I was not interested in the can and he could not tell me where the dalmation was, yet those were the only two options to pick for questions.	Confused	1
47	English	2	Male	22	I liked the HIT, it was fast, paid well and used cute pictures. I also liked the format over the usual survey, it made it fun.	Yes	2
48	English	2	Female	32		Yes	3
49	English	2	Male	23		Yes	3
