workerid	OS	screenH	screenW	Browser
0	Mac	1080	1920	Chrome
1	Windows	768	1366	Chrome
2	Windows	768	1366	Chrome
3	Windows	900	1600	Chrome
4	Windows	768	1024	Chrome
5	an unknown OS	1024	768	Safari
6	Windows	858	1525	Firefox
7	Windows	1080	1920	Chrome
8	Windows	768	1280	Chrome
9	Windows	768	1360	Chrome
10	Windows	1080	1920	Chrome
11	Mac	800	1280	Chrome
12	Windows	768	1366	Firefox
13	Windows	1080	1920	Chrome
14	Windows	768	1366	Chrome
15	Windows	614	1088	Firefox
16	Windows	768	1366	Chrome
17	Windows	800	1280	Chrome
18	Windows	768	1366	Chrome
19	Windows	768	1366	Chrome
20	Windows	1080	1920	Chrome
21	Windows	1024	1280	Chrome
22	Windows	900	1600	Chrome
23	Windows	1080	1920	Firefox
24	Windows	768	1366	Chrome
