iterationName	gameid	time	firstRole	score	gameID	quizFailCounter	nativeEnglish	ratePartner	confused	comments	strategy	role	totalLength	eventType
single-player-pilot	6731-315c810d-5389-40df-8565-e6bd58376594	1546717687749	seeker	15	6731-315c810d-5389-40df-8565-e6bd58376594	0	yes	okay	yes	thanks	I tried to reveal and find the combo cards to earn the bonus	helper	135610	exitSurvey
single-player-pilot	0659-745c84b1-6b6f-4426-840a-18df07b03516	1546718001262	seeker	30	0659-745c84b1-6b6f-4426-840a-18df07b03516	0	yes	liked	yes	Thanks!	As seeker, I just chose one of the cards from the combo, As the helper, I paid attention to the combos and revealed the corresponding one,	helper	131429	exitSurvey
single-player-pilot	0475-f939933a-b26b-445f-adc8-32cae09c05d4	1546718354440	helper	25	0475-f939933a-b26b-445f-adc8-32cae09c05d4	0	yes	okay	yes		There really wasn't much strategy to go on given the limited options,	seeker	164945	exitSurvey
single-player-pilot	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	1546718548136	seeker	15	6711-0b510617-e0fd-4c05-874f-79ea51e45fd9	0	yes	okay	yes	I was under the impression that the hit it's self would take 10 minutes, Usually this does not include instructions, I feel i did not have enough time to fully understand them, I felt i was rushed, You should always make your hits 60 minutes minimum 	Just trying to complete as many combos as i can,	helper	284397	exitSurvey
single-player-pilot	6191-1c7e2750-b072-4c36-a2f2-c6a7890c4f2c	1546718599977	seeker	25	6191-1c7e2750-b072-4c36-a2f2-c6a7890c4f2c	0	yes	liked	yes	no issues	Just follow what makes sense as far as eliminating or asking for a specific card, and then seeing what makes up that combo, It's hard to explain, but basically don't ask for a card that enables both combos, and only ask for a card that lets your partner know which combo you are targeting,	helper	242944	exitSurvey
single-player-pilot	4272-1d4748ae-be20-438f-8573-f3013ad75e14	1546718793005	helper	30	4272-1d4748ae-be20-438f-8573-f3013ad75e14	1	yes	loved	yes		analyzing the combos in order to pick the right combo of cards,	seeker	145774	exitSurvey
single_player_sample	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	1546746745480	seeker	30	3946-bb46b330-9161-4371-b959-4f0ab0a79cec	0	yes	loved	yes	No problems!	If there was a card shared among the combos, I always picked the other card, so my partner would know which combo to which I was referring,	helper	119977	exitSurvey
single_player_sample	3561-fb73ea38-26fb-49f9-9c44-83ec5ebd13f0	1546747244003	helper	30	3561-fb73ea38-26fb-49f9-9c44-83ec5ebd13f0	0	yes	loved	yes	No	I made sure I asked for the card that did not occur in both combinations when I was the seeker, When I was the helper, I made sure I knew which combination the seeker was looking for,	seeker	165867	exitSurvey
single_player_sample	7109-318123db-b3ad-4638-ad43-291f8b04308b	1546747952050	helper	20	7109-318123db-b3ad-4638-ad43-291f8b04308b	0	yes	okay	yes	No, thank you!:)	Just trying to get them done in one question, I didn't have much of one otherwise	seeker	365734	exitSurvey
single_player_sample	8085-9c540cc8-3455-43de-9060-a6defffb0874	1546747976384	helper	10	8085-9c540cc8-3455-43de-9060-a6defffb0874	1	yes	okay	confused	I would have liked to have practiced or seen a few examples, but thanks,	I actually was kind of confused, I was just trying to remember where cards were, I don't think I got the instructions correctly,	seeker	325315	exitSurvey
single_player_sample	2341-061706a0-a3e7-4164-a122-ceaab1ed6592	1546747475900	helper	20	2341-061706a0-a3e7-4164-a122-ceaab1ed6592	0	yes	liked	yes	I was flustered at first and then it was okay,	I tried to pick the card that matched the combo but not pick the one that was in both combos,,,I had to learn that the hard way,	seeker	325623	exitSurvey
single_player_sample	2875-cf1f21c0-e1ec-4c35-bd3c-aab09cf1c382	1546747733310	seeker	20	2875-cf1f21c0-e1ec-4c35-bd3c-aab09cf1c382	0	yes	not much	yes	no	i avoided asking about the common card	helper	248323	exitSurvey
