workerid	OS	screenH	screenW	Browser
0	Windows	1080	1920	Firefox
1	Windows	1080	1920	Chrome
2	Windows	768	1024	Chrome
3	Windows	858	1143	Firefox
4	Linux	640	360	Chrome
5	Windows	1080	1920	Firefox
6	Linux	768	1366	Chrome
7	Windows	1050	1680	Chrome
8	Windows	900	1600	Chrome
9	Windows	768	1366	Chrome
10	Linux	768	1366	Firefox
11	Windows	1080	1920	Chrome
12	Windows	800	1280	Chrome
13	Linux	768	1366	Chrome
14	Windows	768	1366	Chrome
15	Windows	900	1440	Mozilla
16	Windows	1050	1680	Firefox
17	Windows	900	1600	Chrome
18	Windows	1050	1680	Chrome
19	Windows	768	1366	Chrome
20	Windows	768	1366	Firefox
21	Windows	1080	1920	Chrome
22	Windows	768	1366	Chrome
23	Windows	768	1366	Firefox
24	Mac	1440	2560	Chrome
25	Windows	768	1360	Firefox
26	Windows	864	1536	Firefox
27	Linux	900	1600	Firefox
28	Windows	900	1600	Chrome
29	Windows	1440	2560	Firefox
