workerid	OS	screenH	screenW	Browser
0	Mac	1440	2560	Firefox
1	Windows	1280	1600	Firefox
2	Windows	768	1366	Firefox
3	Windows	1080	1920	Chrome
4	Mac	1080	1920	Chrome
5	Windows	760	1351	Firefox
6	Windows	768	1366	Chrome
7	Windows	900	1600	Chrome
8	Windows	768	1366	Chrome
9	an unknown OS	1024	768	Safari
10	Windows	1080	1920	Chrome
11	Windows	1080	1920	Chrome
12	Windows	768	1366	Chrome
13	Windows	1080	1920	Chrome
14	Windows	1080	1920	Chrome
15	Windows	858	1143	Firefox
16	Windows	768	1366	Firefox
17	Windows	768	1366	Chrome
18	Mac	893	1429	Firefox
19	Windows	1080	1920	Chrome
20	Windows	768	1366	Chrome
21	Windows	768	1366	Chrome
22	Windows	900	1440	Firefox
23	Mac	900	1440	Chrome
24	Windows	768	1366	Chrome
25	Mac	800	1280	Chrome
26	Windows	900	1440	Chrome
27	Windows	1050	1680	Chrome
28	Windows	900	1600	Firefox
29	Windows	1080	1920	Chrome
30	Mac	1080	1920	Chrome
31	Windows	900	1600	Firefox
32	Windows	768	1366	Firefox
33	Windows	768	1366	Chrome
34	Mac	1080	1920	Chrome
35	Windows	768	1280	Chrome
36	Windows	768	1366	Firefox
37	Windows	768	1366	Firefox
38	Windows	1080	1920	Chrome
39	Linux	768	1366	Chrome
40	Linux	1200	1920	Firefox
41	Windows	1080	1920	Chrome
42	Windows	1080	1920	Chrome
43	Windows	1080	1920	Chrome
44	Windows	1080	1920	Chrome
45	Windows	994	1746	Chrome
46	Windows	1080	1920	Chrome
47	Windows	1080	1920	Firefox
48	Windows	800	1280	Chrome
49	Mac	1080	1920	Chrome
