workerid	q_explanation	q_exp_tag	trial_type	a_explanation	helpful
0	she wants some mexican food.	pr	foods_sib	they will give her some of that.	0.76
0	she needs one	pr	clothes_super	they aren&quotechart sure.	0.47
0	she has one	conversation	pets_id	they have that in common	0.85
0	she needs a ride	pr	vehicles_sub	they want to impress her	0.63
1	he&quotechars hungry	pr	foods_id	they have food	0.92
1	she&quotechars curious	info	pets_sub	they are honest	0.89
1	she wants a shirt	pr	clothes_sib	they&quotecharre dumb	0.12
1	she needs a ride	pr	vehicles_super	they wanted to answer her	0.48
2	She wants to be sure I remembered to pack a shirt for a trip.	info	clothes_sib	they bought pants at a store instead of a shirt.	0.69
2	he wants me to feed him mexican food.	  pr	foods_id	they have mexican food available to give to Charles.	0.96
2	she wants a ride somewhere.	pr	vehicles_sub	they wanted to show off their sports car.	0.54
2	she&quotechars making polite conversation.	conversation	pets_super	they don&quotechart want to talk to Sally and gave a purposefully vague answer.	0.04
3	she hungry for mexican food.	pr	foods_sib	that is the food they have.	0.38
3	she could be allergic to dogs.	info	pets_sub	they have a dog.	0.65
3	maybe he needs a shirt.	 pr	clothes_id	they have a shirt.	0.67
3	she needs a ride to someplace.	pr	vehicles_super	they have a car.	0.79
4	she is hungry and wants Mexican food.	pr	foods_sib	they are trying to offer Sally something else she may want in lieu of Mexican food.	0.41
4	he needs a shirt to wear.	pr	clothes_id	they have a shirt he can wear. 	0.87
4	she is  afraid of dogs and won&quotechart come in if I have one.	info 	pets_sub	they have a dog, but dalmatians are generally nice dogs, so they want to alleviate fears. 	0.57
4	Alice needs a ride.	 pr	vehicles_super	because they have a mode of transportation, but it might not accommodate Alice. 	0.25
5	he&quotechars curious if I have a dog	info	pets_sib	to become part of the conversation and to alert bob they do not have a dog	0.17
5	she may be hungry for mexican food	pr	foods_sub	alerting Sally they have burritos which is mexican may help sally	0.75
5	I may be shirtless	pr	clothes_super	to be helpful	0.71
5	sally needs a ride	pr	vehicles_id	to be helpful to sally	0.75
6	she needs a ride.	pr	vehicles_sib	a truck is a vehicle that is not a car.	0.23
6	some people keep dogs as pets.	info	pets_sub	a dalmatian is a type of dog.	1
6	the person to put a shirt on.	pr	clothes_id	the person does have a shirt.	0.8
6	Bob wants mexican food.	  pr	foods_super	they have food that isn&quotechart mexican.	0
7	he needs to borrow a shirt.	pr	clothes_id	it was a yes or no question, and they do have a shirt.	0.59
7	she saw a dog, and wondered if i was theirs.	info	pets_super	they have an animal that is not a dog.	0.62
7	she&quotechard like to buy some Mexican food.	pr	foods_sib	they don&quotechart have Mexican food, but have an alternative to offer.	0.77
7	she needs a ride somewhere.	pr	vehicles_sub	they&quotecharre giving additional information that might be helpful.	0.87
8	he was curious.	 conversation	pets_sib	they were asked if they have a pet.	0.93
8	he was in the mood for Mexican.	pr	foods_super	they have food but not Mexican.	0.82
8	she needs a ride.	pr	vehicles_sub	they want to show off a little.	0.76
8	he needs to borrow one.	pr	clothes_id	they have one to lend.	0.98
9	he smells mexican food.	info	foods_super	they have the take out bag causing the aroma.	0.89
9	she may have one she knows up for adoption.	info	pets_id	they wanted to show they like dogs.	0.42
9	she needs a lift/ride somewhere.	pr	vehicles_sib	they think Sally needs to move an item from one place to the other.	0.78
9	he spilled something on his and needs another.	pr	clothes_sub	to let Charles know the answer is &quotecharyes&quotechar and indicate the type of shirt being offered.	0.78
10	She wants a ride.	pr	vehicles_sub	because they think sally will like them	1
10	Alice wants you to put a shirt on	pr	clothes_super	Because they had clothes but did not know if there was a shirt.	0.27
10	Because Bob likes dogs.	 conversation	pets_sib	Because they do not have a dog.	0.9
10	He wants some.	  pr	foods_id	because bob wants some.	0.9
11	she needs a ride somewhere	pr	vehicles_sib	they drive a truck and not a car	1
11	he needs some mexican food for a party	pr	foods_super	they dont have mexican food	0.36
11	he has spilled something on his shirt	pr	clothes_sub	they only have a casual, short sleeve shirt	0.8
11	she is interested in something dog owners know	info	pets_id	he owns a dog	1
12	she need a ride.	pr	vehicles_id	They want to offer a lift/ride.	1
12	She is craving Mexican food.	pr	foods_sib	they do not serve Mexican food.	0.83
12	she want to give out one.	info	clothes_super	they do not need any clothing.	0.7
12	she is scared of dogs.	info	pets_sub	they want to be specific about they dog they have.	0.89
13	he thinks that I need a new shirt because the one I am wearing now is very old.	info	clothes_sub	He doesn&quotechart really want a new shirt so he said that a Polo will do just fine.	0.31
13	Maybe she has a car for sale and wanting to help me out.	info	vehicles_super	They don&quotechart really need another vehicle at this moment.	1
13	He likes dogs and wants to know more about what type of dog I have to see what we have more in common.	    conversation	pets_sib	He wants to let Bob know he loves Cats instead of Dogs.	1
13	Maybe he want to eat or go out to eat some Mexican Food.	info	foods_id	He has Mexican food and want to share and eat together with Charles.	1
