workerid	q_explanation	trial_type	a_explanation	helpful	language	enjoyment	gender	age	comments	asses	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes
0	she wants some mexican food.	foods_sib	they will give her some of that.	0.76	english	2	Male	65	Do you have any more HITS?  (why did I ask that?)	Yes	4	Windows	900	1440	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3I33IC7ZWF286OUA3Q758QTD146A2W	0	Approved	Tue Nov 11 02:23:28 PST 2014	Mon Nov 10 09:38:44 PST 2014	Mon Nov 10 09:43:28 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	4.616416666666667
0	she needs one	clothes_super	they aren&quotechart sure.	0.47	english	2	Male	65	Do you have any more HITS?  (why did I ask that?)	Yes	4	Windows	900	1440	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3I33IC7ZWF286OUA3Q758QTD146A2W	0	Approved	Tue Nov 11 02:23:28 PST 2014	Mon Nov 10 09:38:44 PST 2014	Mon Nov 10 09:43:28 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	4.616416666666667
0	she has one	pets_id	they have that in common	0.85	english	2	Male	65	Do you have any more HITS?  (why did I ask that?)	Yes	4	Windows	900	1440	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3I33IC7ZWF286OUA3Q758QTD146A2W	0	Approved	Tue Nov 11 02:23:28 PST 2014	Mon Nov 10 09:38:44 PST 2014	Mon Nov 10 09:43:28 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	4.616416666666667
0	she needs a ride	vehicles_sub	they want to impress her	0.63	english	2	Male	65	Do you have any more HITS?  (why did I ask that?)	Yes	4	Windows	900	1440	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3I33IC7ZWF286OUA3Q758QTD146A2W	0	Approved	Tue Nov 11 02:23:28 PST 2014	Mon Nov 10 09:38:44 PST 2014	Mon Nov 10 09:43:28 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	4.616416666666667
1	he&quotechars hungry	foods_id	they have food	0.92		1	Female	23		Yes	2	Windows	2048	2560	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3PM8NZGV8YG1UK4OGBPKOG2EIVTXQ1	1	Approved	Tue Nov 11 02:24:07 PST 2014	Mon Nov 10 09:37:57 PST 2014	Mon Nov 10 09:44:07 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	3.3211
1	she&quotechars curious	pets_sub	they are honest	0.89		1	Female	23		Yes	2	Windows	2048	2560	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3PM8NZGV8YG1UK4OGBPKOG2EIVTXQ1	1	Approved	Tue Nov 11 02:24:07 PST 2014	Mon Nov 10 09:37:57 PST 2014	Mon Nov 10 09:44:07 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	3.3211
1	she wants a shirt	clothes_sib	they&quotecharre dumb	0.12		1	Female	23		Yes	2	Windows	2048	2560	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3PM8NZGV8YG1UK4OGBPKOG2EIVTXQ1	1	Approved	Tue Nov 11 02:24:07 PST 2014	Mon Nov 10 09:37:57 PST 2014	Mon Nov 10 09:44:07 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	3.3211
1	she needs a ride	vehicles_super	they wanted to answer her	0.48		1	Female	23		Yes	2	Windows	2048	2560	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3PM8NZGV8YG1UK4OGBPKOG2EIVTXQ1	1	Approved	Tue Nov 11 02:24:07 PST 2014	Mon Nov 10 09:37:57 PST 2014	Mon Nov 10 09:44:07 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	3.3211
2	She wants to be sure I remembered to pack a shirt for a trip.	clothes_sib	they bought pants at a store instead of a shirt.	0.69	English	2	Male	26		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X73LLYYQ1EJ5XRHVFFHH0JFPUNNHB	2	Approved	Tue Nov 11 02:24:57 PST 2014	Mon Nov 10 09:38:02 PST 2014	Mon Nov 10 09:44:57 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	6.8718
2	he wants me to feed him mexican food.	foods_id	they have mexican food available to give to Charles.	0.96	English	2	Male	26		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X73LLYYQ1EJ5XRHVFFHH0JFPUNNHB	2	Approved	Tue Nov 11 02:24:57 PST 2014	Mon Nov 10 09:38:02 PST 2014	Mon Nov 10 09:44:57 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	6.8718
