workerid	OS	screenH	screenW	Browser
0	Windows	900	1440	Chrome
1	Windows	2048	2560	Firefox
2	Windows	768	1366	Chrome
3	Windows	1080	1920	Firefox
4	Windows	768	1366	Chrome
5	Windows	768	1366	Chrome
6	Mac	800	1280	Safari
7	Mac	720	1280	Chrome
8	Windows	768	1366	Firefox
9	Windows	768	1024	Chrome
10	Windows	858	1525	Firefox
11	Windows	768	1366	Chrome
12	Windows	858	1525	Firefox
13	Windows	893	1429	Firefox
14	Windows	1080	1920	Firefox
15	Windows	768	1366	Chrome
16	Windows	1050	1680	Firefox
17	Windows	900	1600	Chrome
18	Windows	768	1366	Chrome
19	Windows	768	1366	Firefox
20	iPhone/iPod	568	320	Safari
21	Windows	1024	1280	Firefox
22	Windows	1280	1600	Firefox
23	Windows	768	1366	Firefox
24	Windows	768	1366	Chrome
