worldState,answer,modelProb
3:34,3:35,0.74
3:34,3:34,0.08
3:34,3:37,0.06
3:34,3:36,0.06
3:34,3:33,0.06
3:54,3:55,0.65
3:54,3:54,0.23
3:54,3:57,0.02
3:54,3:56,0.03
3:54,3:53,0.05
3:34,3:30,0
3:34,3:31,0
3:34,3:32,0
3:34,3:38,0
3:34,3:39,0
3:34,3:40,0
3:34,3:41,0
3:34,3:42,0
3:34,3:43,0
3:34,3:44,0
3:34,3:45,0
3:34,3:46,0
3:34,3:47,0
3:34,3:48,0
3:34,3:49,0
3:34,3:50,0
3:34,3:51,0
3:34,3:52,0
3:34,3:53,0
3:34,3:54,0
3:34,3:55,0
3:34,3:56,0
3:34,3:57,0
3:34,3:58,0
3:34,3:59,0
3:54,3:30,0
3:54,3:31,0
3:54,3:32,0
3:54,3:33,0
3:54,3:34,0
3:54,3:35,0
3:54,3:36,0
3:54,3:37,0
3:54,3:38,0
3:54,3:39,0
3:54,3:40,0
3:54,3:41,0
3:54,3:42,0
3:54,3:43,0
3:54,3:44,0
3:54,3:45,0
3:54,3:46,0
3:54,3:47,0
3:54,3:48,0
3:54,3:49,0
3:54,3:50,0
3:54,3:51,0
3:54,3:52,0
3:54,3:58,0
3:54,3:59,0
