iterationName	gameid	time	trialNum	trialType	questionNumber	firstRole	sender	underlyingWorld	timeFromMessage	gridState	cellAskedAbout	answer	eventType
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778289883	0	practice	1	helper	human	{"A1":"safe","A2":"unsafe","A3":"unsafe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"unsafe","C3":"safe"}	31908	{"safe":["A1","B1"],"unsafe":[]}	C1	C1	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778317875	2	random	1	helper	human	{"A1":"unsafe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	9992	{"safe":["A3","C1","C2"],"unsafe":[]}	C3	C3	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778345206	4	random	1	helper	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"safe","C2":"unsafe","C3":"unsafe"}	8370	{"safe":["A2","B3","C1"],"unsafe":[]}	C3	C3	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778374460	4	random	2	helper	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"safe","C2":"unsafe","C3":"unsafe"}	37662	{"safe":["A2","B3","C1"],"unsafe":["C3"]}	C2	A3,C2	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778387613	4	random	3	helper	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"safe","C1":"safe","C2":"unsafe","C3":"unsafe"}	50813	{"safe":["A2","B3","C1","A3"],"unsafe":["C3","C2"]}	B1	A1,B1	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778425039	6	random	1	helper	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"unsafe","B2":"safe","B3":"safe","C1":"safe","C2":"unsafe","C3":"safe"}	6939	{"safe":["A1","A3","B3","C1"],"unsafe":[]}	A2	A2	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778459165	8	random	1	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"unsafe","C3":"safe"}	13437	{"safe":["A1","A3","B3","C1"],"unsafe":[]}	A2	A2,C3	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778478480	8	random	2	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"unsafe","C3":"safe"}	32754	{"safe":["A1","A3","B3","C1","C3"],"unsafe":["A2"]}	C2	B1,C2	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778483845	8	random	3	helper	human	{"A1":"safe","A2":"unsafe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"unsafe","C3":"safe"}	38120	{"safe":["A1","A3","B3","C1","C3","B1"],"unsafe":["A2","C2"]}	B2	B2	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778520518	10	random	1	helper	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"unsafe","B3":"unsafe","C1":"safe","C2":"unsafe","C3":"unsafe"}	12244	{"safe":["A2","B1"],"unsafe":[]}	C1	A1,C1	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778564261	12	empty	1	helper	human	{"A1":"unsafe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	12002	{"safe":[],"unsafe":[]}	C1	C1,C2	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778575552	12	empty	2	helper	human	{"A1":"unsafe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	23292	{"safe":["C1","C2"],"unsafe":[]}	C3	B1,C3	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778602595	14	random	1	helper	human	{"A1":"unsafe","A2":"unsafe","A3":"safe","B1":"unsafe","B2":"unsafe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	11037	{"safe":["B3","C1","C2"],"unsafe":[]}	A2	A2,C3	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778608208	14	random	2	helper	human	{"A1":"unsafe","A2":"unsafe","A3":"safe","B1":"unsafe","B2":"unsafe","B3":"safe","C1":"safe","C2":"safe","C3":"safe"}	16651	{"safe":["B3","C1","C2","C3"],"unsafe":["A2"]}	A3	A3	answer
testing	5137-21b550ea-4c59-4091-8dc1-0bbd0215a090	1550778642425	16	pragmatic	1	helper	human	{"A1":"safe","A2":"safe","A3":"safe","B1":"safe","B2":"safe","B3":"safe","C1":"unsafe","C2":"safe","C3":"safe"}	10854	{"safe":["C2"],"unsafe":[]}	A2	A2,B2	answer
