iterationName,gameid,time,role,confused,strategy,comments,totalLength,ratePartner,nativeEnglish,quizFailCounter,score,firstRole
testing,7632-e53014c3-1ea6-4892-9fc4-c1a89d092b43,1.545530784821e+12,,,,,,,,,,
testing,7632-e53014c3-1ea6-4892-9fc4-c1a89d092b43,1.54553102406e+12,,,,,,,,,,
testing,1244-e8915dea-a1e5-4993-815b-2cfac29ee630,1.545531521572e+12,,,,,,,,,,
testing,8405-1b842ef7-d3b4-4ab3-955a-1395fe257a1a,1.545532207032e+12,seeker,no,"asdf
",hahahahahahahahahahahahahah,91303,not much,no,,25,
testing,3721-ca61d6f6-da2d-4a8b-b6a4-01ae2db13ac0,1.545533481472e+12,helper,confused,"I tried to follow the directions but the term ""unnecessary question"" threw me off, ",no,200181,okay,yes,1,15,
testing,3721-ca61d6f6-da2d-4a8b-b6a4-01ae2db13ac0,1.545533495827e+12,seeker,yes,"Try to find the card as quick as possible,",None,253795,okay,yes,2,15,
testing,1935-1b35013f-8b81-413f-b2cf-46dccc34c4d4,1.545533497902e+12,seeker,yes,"describes exactly what I saw, and chose what my partner described,",,188174,liked,no,1,30,
testing,1935-1b35013f-8b81-413f-b2cf-46dccc34c4d4,1.545533524011e+12,helper,yes,ask for the cards needed and trust the other person,"This was fun! Can I do it again?! (I know the HIT says no,)",207332,loved,yes,0,30,
testing,3281-178b71b1-5a49-4fcf-b8a9-e3278585cc08,1.545533555828e+12,helper,yes,"To try and see which card is best to reveal,",no issues,204146,okay,yes,0,15,
testing,2245-af9b2999-31d1-43bf-a69b-4a2a1afde078,1.545533563948e+12,seeker,yes,trying to get the combos revealed,no,353535,not much,yes,0,0,
testing,3281-178b71b1-5a49-4fcf-b8a9-e3278585cc08,1.545533587879e+12,seeker,yes,I asked about the cards I needed,,263273,loved,yes,2,15,
testing,6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b,1.545533787666e+12,helper,yes,"The strategy was communication between the player and the partner,",,236052,loved,yes,2,10,
testing,6584-ed23f228-cf85-41ac-84ba-1a63b5d2e15b,1.545533807286e+12,seeker,yes,"Well I went along with what was needed to reveal or seek the cards, ",Thank you for the survey ,265098,okay,yes,0,10,
testing,9786-9823584e-a808-46d6-ae75-76aa7404896f,1.545533825782e+12,seeker,confused,"I was not sure exactly,  I tried to answer and pick the best I could but I did not have any real strategy,",,470445,not much,yes,0,5,
testing,9786-9823584e-a808-46d6-ae75-76aa7404896f,1.545533826859e+12,helper,yes,"just communicated best i can, no other strategy",,360828,not much,yes,1,5,
testing,1990-26a2622b-4525-40d3-900a-0964ef665f80,1.545534083528e+12,seeker,yes,I just asked and answered the questions,Not at this time,525641,loved,yes,0,20,
testing,1990-26a2622b-4525-40d3-900a-0964ef665f80,1.545534090771e+12,helper,confused,listen to the other player and grab both cards in the combo,it took me a couple rounds to understand the game properly,221797,liked,yes,2,20,
testing,7699-a4cdc2a4-cc73-4322-ab5e-8b0643443ef9,1.545534233989e+12,seeker,yes,"Was there a strategy? Just don't ask for something ambiguous,","Newp,",253510,okay,yes,0,30,
testing,7699-a4cdc2a4-cc73-4322-ab5e-8b0643443ef9,1.545534249934e+12,helper,yes,you literally just reveal the card combo they ask for its that easy,Well that sure was easy,215836,okay,yes,0,30,
full_sample,9305-c48b28d3-8ab0-42a2-b612-7f8115b42e2e,1.546217684022e+12,helper,yes,"Originally I thought you could only reveal one card at a time, but when my partner revealed both, I decided to do that as well,",All good!,176267,okay,yes,0,25,
full_sample,9305-c48b28d3-8ab0-42a2-b612-7f8115b42e2e,1.54621774228e+12,seeker,yes,"I hoped the other person understood the rules, and completed a round by example when the other person didn't, i also first chose a card that was unique for a combo,",none,516588,liked,yes,1,25,
full_sample,3946-93562776-a60f-4980-a72e-136ab4c5d513,1.546217787107e+12,helper,yes,Just trying to get the right one,,187336,liked,yes,0,20,
full_sample,8578-8ab578f0-13a8-41ef-b116-48a4b8284854,1.546217794708e+12,helper,yes,i didn't have one,no,247064,okay,yes,0,15,
full_sample,3946-93562776-a60f-4980-a72e-136ab4c5d513,1.546217810059e+12,seeker,yes,"I would describe it as simple common sense if you understand the rule set, ","Thanks for the opportunity, ",219403,not much,yes,0,20,
full_sample,9161-8f4bbd2d-1825-404a-bd17-0284cee54f4a,1.546217815764e+12,seeker,yes,"Trying to pick the card that makes it obvious which combo I have, ",,264399,okay,yes,0,25,
full_sample,9161-8f4bbd2d-1825-404a-bd17-0284cee54f4a,1.546217820537e+12,helper,yes,just finding what they were asking for,Thanks!,252311,liked,yes,2,25,
full_sample,8578-8ab578f0-13a8-41ef-b116-48a4b8284854,1.546217827247e+12,seeker,yes,"I tried to anticipate if the other person would need more than 1 card revealed even if they only asked for one,",It was fun thank you!,282102,okay,yes,0,15,
full_sample,2845-49f3317b-5422-4e6f-a2f3-bec2e90e58a0,1.546217890407e+12,seeker,yes,"Asking about the card that revealed the most about the combo, so if the combos had a card in common, picking the other card,",,277709,liked,yes,0,15,
full_sample,2845-49f3317b-5422-4e6f-a2f3-bec2e90e58a0,1.546217899151e+12,helper,yes,Tried to get the combo with only 1 exchange,no,258683,okay,yes,0,15,
full_sample,5141-4b3b6f3c-1d68-4011-80c5-cdd0f9ed87cb,1.546217997426e+12,seeker,yes,typed out the combo cards,no,283805,okay,yes,0,25,
full_sample,5141-4b3b6f3c-1d68-4011-80c5-cdd0f9ed87cb,1.546218011053e+12,helper,yes,"I tried to communicate efficiently and clearly,",Thanks,283586,okay,yes,0,25,
