workerid	language	enjoyment	gender	age	comments	asses	education
0	english	1	Female	31		Yes	0
1	english	2	Female	32		Yes	3
2	English 	2	Male	36		NA	4
3	english	2	Male	55		Yes	2
4	English	2	Male	28		Yes	3
5	English	2	Female	51	Thank you very much for sharing your fun experiment!	Yes	3
6	ENGLISH	2	Female	27		Yes	3
7	English	2	Male	40		Yes	3
8	english	1	Male	22		Yes	2
9	English	2	Female	43		Yes	2
10	English	2	Male	32	None.	Yes	1
11	english	2	Female	29		Yes	1
12	english	2	Female	35	emjoyed	Yes	1
13	English	2	Male	48		Yes	3
14	english	1	Male	63		Yes	4
15	English	2	Male	48		Yes	3
16	english	2	Male	21		Yes	2
17	english	1	Male	53		Yes	3
18	English	1	Male	24		Yes	3
19	English	1	Female	21		Yes	2
20	English	1	Male	30	Thanks	Yes	1
21	English	2	Male	23		Yes	2
22	English	2	Female	20	I was confused about the directions in part 1 - at first I thought it meant I couldn&quotechart open the gate with the dalmatian if they said "dalmatian?"	Confused	2
23	English	1	Male	25		Confused	3
24	English	2	Female	35		Yes	4
25	English	1	Male	26		Yes	2
26	English	1	Female	33		Yes	3
27	english	2	Female	24	nice	Yes	2
28	English	2	Female	54	It was fun and different.	Yes	2
29	english	1	Female	50	none	Yes	1
30	english	2	Male	37	enjoyed taking it	Yes	1
31	English	2	Male	24	Good luck with your research and good health!	Yes	2
32	english	1	Female	31		Yes	4
33	English	1	Male	25	what the hell was i doing	Yes	2
34	English	1	Female	57		Yes	3
35	English	1	Female	45	thank you.	Yes	2
36	English	2	Female	29		Yes	3
37	Enlgish	2	Female	27		Yes	2
38	English	2		32		NA	3
39	English	2	Male	37	No comments	Yes	3
40	English	0	Male	35		Yes	1
41	english	2	Female	49	Fun!  Thanks for the opportunity to participate. 	Yes	2
42	english	1	Male	32		Yes	3
43	English	1	Male	23		Yes	3
44	English	2	Male	29		No	2
45	English	2	Male	23		No	2
46	English	2	Male	36	thank you!	Yes	2
47	English	2	Female	31		Yes	1
48	English	1	Female	32		Confused	3
49	English	1	Male	30		Confused	0
50	English	2	Female	46	Thank you -- this was interesting and fun!	Yes	4
51	English	2	Male	31	thanks	No	3
52	English	2	Female	52		Yes	3
53	ENGLISH	2	Female	30		Yes	2
54	english	2	Male	44	no comments	Yes	2
55	English	1	Male	25	Great survey	Yes	3
56	English	2	Male	47 	Thank you, it was fun, I wish I was able to play a full round and see how I scored.	Yes	2
57	english	2	Female	55		Yes	2
58	English	1	Female	29		Yes	3
59	English	1	Male	55		Yes	1
60	English	2	Male	43	thank you	Yes	2
61	English	0	Male	55	Totally confused; have no idea what the intent or objective of this HIT is.	Confused	3
62	English	1	Female	28	The only issue I had was I wasn&quotechart sure if I was supposed to use &quotecharmammal&quotechar for the goldfish.	Yes	2
63	English	2	Female	52	Fun!	Yes	2
64	English	2	Female	35		Yes	2
65	arabic	1	Female	31		Yes	2
66	English	2	Male	28	fun stuff. would like to be told results.	Yes	1
67	English	2	Male	21		Yes	3
68	English	2	Female	27	Interesting task. It required clever thought!	Yes	3
69	english	2	Male	35		Yes	1
70	english	2	Male	32		Yes	2
71	English	2	Male	34		Yes	3
72	english	2	Male	26		Yes	1
73	Spanish, English	2	Male	29		Yes	3
74	English	1	Male	27		Yes	3
75	english	1	Female	40		Yes	3
76	english	2	Female	44	Very interesting. Thanks!	Yes	2
77	english	2	Male	22		Yes	3
78	english	1	Female	37		Yes	2
79	English	2	Male	28	Fun survey. Everything worked great.	Yes	3
80	English	2	Male	24		Yes	3
81	English	2	Male	20		Yes	1
82	English	2	Female	48	I was confused and even read the instructions twice.  I thought I understood, but when the first task appeared, I was confused again.  I hoped I did it correctly.	Confused	2
83	English	2	Male	22	fun survey	Yes	1
84	English	2	Male	31	Fun & unique.	Yes	1
85	English	1	Male	24		Yes	3
86	english	2	Female	49		Yes	3
87	English	2	Male	54	Interesting. Thanks for the opportunities. 	Yes	2
88	English	2	Male	32	Fun experiment, thank you!	Yes	3
89	English	2	Female	23		Yes	2
90	English	-1	Male	34	No cmments	Yes	2
91	English	2	Male	39		Yes	3
92	english	2	Male	31		Yes	3
93	English	2	Male	34	no comments	Yes	3
94	English	2	Male	22	Fun HIT!	Yes	3
95	english	2	Male	33		Yes	1
96	English	2	Female	51	Fun, it took a sec to catch on, but that was a good hit, thanks.	Yes	2
97	spanish	1	Male	28		Confused	3
98	English	2	Female	75	Interesting and fun	Yes	1
99	English	2	Female	51	On the second part it would have been nice to both know what the person was searching for and what question they asked.  If they were looking for the poodle, and asked for Dalmation, I would show them the Dalmation.. but if they were trying to find the Dalmation, I would have shown them the poodle.  I was just a bit confused by the second part, in that I didn&quotechart have both pieces of information.	Confused	3
