workerid	OS	screenH	screenW	Browser
0	Windows	768	1366	Chrome
1	Windows	768	1366	Chrome
2	Windows	900	1600	Chrome
3	Windows	1440	2560	Chrome
4	Windows	600	1024	Chrome
5	Linux	360	640	Chrome
6	Windows	1050	1680	Firefox
7	Windows	768	1366	Firefox
8	Windows	900	1600	Chrome
9	Windows	1080	1920	Chrome
10	Windows	864	1152	Firefox
11	Windows	1080	1920	Chrome
12	Windows	1024	1280	Chrome
13	Linux	1080	1920	Chrome
14	Mac	800	1280	Chrome
15	Windows	1080	1920	Chrome
16	Windows	900	1600	Chrome
17	Windows	1080	1920	Chrome
18	Windows	720	1280	Chrome
19	Windows	900	1600	Chrome
20	Windows	900	1600	Firefox
21	Windows	720	1280	Chrome
22	Windows	1050	1680	Chrome
23	Windows	960	1708	Firefox
24	Windows	614	1093	Firefox
