workerid	OS	screenH	screenW	Browser
0	Windows	768	1366	Firefox
1	Mac	1140	1824	Firefox
2	Mac	800	1280	Chrome
3	Windows	768	1366	Chrome
4	Windows	768	1366	Chrome
5	Windows	1050	1680	Chrome
6	Windows	768	1366	Chrome
7	Windows	768	1366	Chrome
8	Windows	768	1366	Chrome
9	Windows	1024	1280	Firefox
10	Windows	1024	1280	Firefox
11	Windows	1080	1920	Chrome
12	Mac	900	1600	Firefox
13	Windows	768	1366	Chrome
14	Windows	768	1024	Chrome
15	Windows	768	1366	Firefox
16	Windows	1050	1680	Chrome
17	Windows	768	1366	Chrome
18	Windows	768	1366	Chrome
19	Windows	768	1366	Firefox
20	Windows	600	1024	Chrome
21	Windows	1080	1920	Firefox
22	Windows	768	1366	Chrome
23	Windows	768	1366	Chrome
24	Windows	1080	1920	Chrome
